Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-untested/19.485115--155.597137,1486,1516,838,1044,0.9078125,5
everywhere-untested/37.012882--97.477806,1456,1464,1029,1096,0.970703125,5
everywhere-untested/19.372066--155.45723,471,471,714,809,0.92578125,5
everywhere-untested/33.651501--116.739403,1357,1358,901,946,0.9800347222222222,5
everywhere-untested/33.292229--115.977844,673,693,623,843,0.84375,5
everywhere-untested/45.309509--123.822891,1077,1381,131,155,0.7864583333333334,5
everywhere-untested/33.539501--116.591904,1468,1481,1003,1079,0.965234375,5
everywhere-untested/32.457901--114.704903,952,1103,305,433,0.818359375,5
everywhere-untested/41.958199--119.790497,1375,1445,293,347,0.9308035714285714,5
everywhere-untested/15.855--61.635399,611,643,117,125,0.9479166666666666,5
everywhere-untested/15.94935--61.28223,78,78,124,178,0.7890625,5
everywhere-untested/14.524621--91.694939,1382,1418,500,630,0.9189453125,5
everywhere-untested/-35.009899--71.930298,120,120,128,136,0.96875,5
everywhere-untested/SouthAmerica,1379,1398,389,394,0.9866071428571429,5
everywhere-untested/61.142601--150.2164,1406,1426,740,1134,0.83828125,5
everywhere-untested/California,1158,1306,171,230,0.865234375,5
everywhere-untested/Puerto,1149,1150,733,898,0.9189453125,5
everywhere-untested/47.749191--124.175438,1216,1371,140,165,0.8828125,5
everywhere-untested/45.309509--123.822891,1173,1381,123,155,0.84375,5
everywhere-untested/17.969427--67.04422,452,453,630,827,0.8453125,5
everywhere-untested/28.2502--16.5082,1290,1413,304,379,0.8895089285714286,5
everywhere-untested/46.925701--123.916,1340,1420,293,372,0.9112723214285714,5
everywhere-untested/-30.8389--70.689102,1307,1362,174,174,0.9641927083333334,5
everywhere-untested/-30.172701--70.799301,923,926,347,354,0.9921875,5
everywhere-untested/45.4865--123.978104,1159,1386,91,150,0.8138020833333334,5
everywhere-untested/-31.203699--71.000298,1333,1400,136,136,0.9563802083333334,5
everywhere-untested/-33.0229--71.637398,863,882,141,142,0.98046875,5
everywhere-untested/15.318176--91.502541,1300,1355,377,437,0.9358258928571429,5
everywhere-untested/60.858398--148.333405,1197,1223,525,825,0.8408203125,5
everywhere-untested/16.066957--61.611076,1267,1440,90,96,0.8834635416666666,5
