Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-untested/33.606899--116.699997-minmag1,1287,1351,860,953,0.9318576388888888,10
everywhere-untested/12.4868--61.426998,188,193,29,63,0.84765625,10
everywhere-untested/-15.447148-167.203232-minmag1,1343,1350,167,186,0.9830729166666666,10
everywhere-untested/34.238831--117.658531,968,1022,969,1026,0.94580078125,10
everywhere-untested/44.314999--124.096603-minmag1,1205,1210,57,70,0.9859375,10
everywhere-untested/33.599991--117.195427,1463,1466,1093,1094,0.9984375,10
everywhere-untested/40.723--111.907173,134,134,118,122,0.984375,10
everywhere-untested/35.555--90.656998,1110,1117,19,163,0.88203125,10
everywhere-untested/-32.558102--70.928902,1440,1450,58,86,0.9752604166666666,10
everywhere-untested/44.51466--124.074867-minmag1,1463,1463,50,73,0.9850260416666666,10
everywhere-untested/35.65205--97.371117,1367,1410,802,894,0.94140625,10
everywhere-untested/39.303299--120.340897,1460,1460,0,332,0.8147321428571429,10
everywhere-untested/36.574001--89.584999,358,371,124,141,0.94140625,10
everywhere-untested/33.608299--116.698402-minmag1,1254,1320,850,984,0.9131944444444444,10
everywhere-untested/18.4709--66.740303-minmag1,88,92,676,676,0.9947916666666666,10
everywhere-untested/39.426399--120.311897,1327,1368,90,168,0.9225260416666666,10
everywhere-untested/14.559928--89.341362,1304,1324,89,212,0.9069010416666666,10
everywhere-untested/35.602001--90.300003,1116,1124,33,156,0.89765625,10
everywhere-untested/35.961155--96.756004,1441,1449,55,87,0.9739583333333334,10
everywhere-untested/47.525471--122.301659,1433,1433,0,103,0.9329427083333334,10
everywhere-untested/59.4296--146.339905-minmag1,679,688,25,80,0.9166666666666666,10
everywhere-untested/42.442001--124.4133-minmag1,690,697,34,71,0.9427083333333334,10
everywhere-untested/-33.9967--71.590202,1339,1359,169,177,0.9817708333333334,10
everywhere-untested/46.36322--119.277473-minmag1,606,632,114,136,0.9375,10
everywhere-untested/44.295071--122.040871,905,927,52,97,0.9345703125,10
everywhere-untested/-33.493599--70.510201,814,816,134,208,0.92578125,10
everywhere-untested/33.609402--116.697197-minmag1,1082,1114,839,934,0.93798828125,10
everywhere-untested/-36.773102--73.209702,182,186,66,70,0.96875,10
everywhere-untested/35.153831--90.090561,837,865,95,159,0.91015625,10
everywhere-untested/46.43774--119.355667,857,888,856,904,0.9559151785714286,10
everywhere-untested/37.205967--97.9133,112,123,629,645,0.96484375,10
everywhere-untested/35.13258--89.865173,897,903,107,121,0.98046875,10
everywhere-untested/36.807339--97.74765,1382,1390,130,146,0.984375,10
everywhere-untested/36.72702--96.5317-minmag1,1337,1345,174,191,0.9837239583333334,10
everywhere-untested/-33.308998--71.3908,1330,1345,181,191,0.9837239583333334,10
everywhere-untested/43.988091--124.109398-minmag1,710,710,0,58,0.9244791666666666,10
everywhere-untested/33.607498--116.699303-minmag1,820,865,873,927,0.9447544642857143,10
everywhere-untested/35.158226--89.987259-minmag1,1428,1428,0,108,0.9296875,10
everywhere-untested/-35.205399--71.966599,1338,1350,174,186,0.984375,10
everywhere-untested/33.608002--116.6987-minmag1,836,887,805,905,0.9157366071428571,10
everywhere-untested/36.335602--98.193001-minmag1,1303,1307,212,229,0.986328125,10
everywhere-untested/-34.401901--72.016098,1347,1357,157,179,0.9791666666666666,10
everywhere-untested/33.6063--116.7005-minmag1,1440,1524,906,1036,0.91640625,10
