,Amount Correct Local,Amount Correct Noise,Amount Total Local,Amount Total Noise,Epochs,Name,Total Percent Correct,Unnamed: 0
0,1035.0,1523.0,1036.0,1524.0,10.0,39.5089--119.836601,0.99921875,1.0
1,1052.0,1506.0,1052.0,1508.0,5.0,33.260201--116.322304,0.99921875,2.0
2,978.0,1452.0,978.0,1454.0,5.0,19.480289--154.888565,0.9991776316,3.0
3,904.0,1526.0,904.0,1528.0,5.0,20.125248--155.777374,0.9991776316,4.0
4,397.0,754.0,397.0,755.0,10.0,AmatriceQuakes,0.9991319444444444,5.0
5,938.0,1491.0,940.0,1492.0,5.0,32.891998--116.422302,0.9987664474,6.0
6,701.0,66.0,702.0,66.0,10.0,18.468--67.111099,0.9986979167,7.0
7,992.0,542.0,993.0,543.0,10.0,19.372066--155.45723-minmag1,0.9986979166666666,8.0
8,1093.0,1463.0,1094.0,1466.0,10.0,33.599991--117.195427,0.9984375,9.0
9,1103.0,1453.0,1105.0,1455.0,10.0,19.493172--155.386017-minmag1,0.9984375,10.0
10,1115.0,1313.0,1117.0,1315.0,5.0,33.144199--116.119301,0.9983552632,11.0
11,1142.0,1413.0,1144.0,1416.0,5.0,33.210098--116.409103,0.998046875,12.0
12,1024.0,1531.0,1027.0,1533.0,10.0,33.495499--116.583397-minmag1,0.998046875,13.0
13,1058.0,986.0,1059.0,989.0,5.0,32.820301--117.056702,0.998046875,14.0
14,1120.0,1562.0,1120.0,1568.0,5.0,33.495499--116.583397,0.9977678571,15.0
15,1124.0,1555.0,1128.0,1560.0,5.0,33.509701--116.561501,0.9966517857,16.0
16,878.0,1418.0,883.0,1421.0,5.0,33.6688--116.672997,0.9965277778,17.0
17,145.0,1513.0,148.0,1516.0,5.0,-31.203699--71.000298,0.9963942308,18.0
18,425.0,1360.0,429.0,1363.0,5.0,39.539101--119.813797,0.99609375,19.0
19,112.0,1418.0,116.0,1420.0,10.0,-33.391899--70.738098-minmag1,0.99609375,20.0
20,379.0,1405.0,383.0,1409.0,10.0,-32.763699--70.550797,0.9955357143,21.0
21,676.0,88.0,676.0,92.0,10.0,18.4709--66.740303-minmag1,0.9947916666666666,22.0
22,140.0,1387.0,149.0,1387.0,10.0,38.290901--92.268402,0.994140625,23.0
23,243.0,1283.0,250.0,1286.0,10.0,-33.391899--70.738098,0.9934895833,24.0
24,997.0,1291.0,1008.0,1296.0,10.0,33.210098--116.409103-minmag1,0.9930555555555556,25.0
25,887.0,1401.0,892.0,1412.0,10.0,33.029999--116.085297-minmag1,0.9930555555555556,26.0
26,192.0,1333.0,198.0,1338.0,10.0,-28.204599--71.073898,0.9928385417,27.0
27,370.0,1155.0,378.0,1158.0,10.0,37.672501--113.071487,0.9928385417,28.0
28,106.0,1419.0,113.0,1423.0,10.0,-18.3708--70.341904-minmag1,0.9928385416666666,29.0
29,347.0,923.0,354.0,926.0,5.0,-30.172701--70.799301,0.9921875,30.0
30,138.0,116.0,138.0,118.0,10.0,41.195831--111.941673,0.9921875,31.0
31,121.0,1401.0,124.0,1412.0,10.0,-33.259102--71.137703-minmag1,0.9908854166666666,32.0
32,136.0,1385.0,146.0,1390.0,10.0,-34.7924--70.781403,0.990234375,33.0
33,480.0,1294.0,494.0,1298.0,10.0,48.010799--114.363297,0.9899553571428572,34.0
34,17.0,743.0,24.0,744.0,10.0,SouthAmericaQuakes,0.9895833333333334,35.0
35,410.0,350.0,418.0,350.0,5.0,18.018099--66.022209,0.9895833333333334,36.0
36,136.0,877.0,139.0,885.0,5.0,-33.0229--71.637398,0.9892578125,37.0
37,119.0,134.0,121.0,135.0,10.0,39.155861--111.819458,0.98828125,38.0
38,59.0,1205.0,69.0,1211.0,10.0,-22.95196--68.178757,0.9875,39.0
39,1019.0,1255.0,1032.0,1272.0,5.0,36.956821--97.96302,0.9869791667,40.0
40,186.0,193.0,188.0,196.0,5.0,-35.009899--71.930298,0.9869791667,41.0
41,859.0,1415.0,876.0,1428.0,10.0,37.29977--97.572701,0.9869791667,42.0
42,1084.0,1190.0,1101.0,1203.0,5.0,33.457699--117.170799,0.9869791667,43.0
43,389.0,1379.0,394.0,1398.0,5.0,SouthAmerica,0.9866071428571428,44.0
44,212.0,1303.0,229.0,1307.0,10.0,36.335602--98.193001-minmag1,0.986328125,45.0
45,930.0,1342.0,946.0,1358.0,5.0,33.651501--116.739403,0.9861111111,46.0
46,57.0,1205.0,70.0,1210.0,10.0,44.314999--124.096603-minmag1,0.9859375,47.0
47,371.0,764.0,383.0,769.0,10.0,CaliforniaQuakes,0.9852430555555556,48.0
48,1065.0,1457.0,1088.0,1472.0,5.0,33.5397--116.591698,0.98515625,49.0
49,50.0,1463.0,73.0,1463.0,10.0,44.51466--124.074867-minmag1,0.9850260416666666,50.0
50,118.0,134.0,122.0,134.0,10.0,40.723--111.907173,0.984375,51.0
51,174.0,1338.0,186.0,1350.0,10.0,-35.205399--71.966599,0.984375,52.0
52,130.0,1382.0,146.0,1390.0,10.0,36.807339--97.74765,0.984375,53.0
53,174.0,1337.0,191.0,1345.0,10.0,36.72702--96.5317-minmag1,0.9837239583333334,54.0
54,181.0,1330.0,191.0,1345.0,10.0,-33.308998--71.3908,0.9837239583333334,55.0
55,167.0,1343.0,186.0,1350.0,10.0,-15.447148-167.203232-minmag1,0.9830729166666666,56.0
56,161.0,1348.0,184.0,1352.0,10.0,45.8881--123.960503,0.982421875,57.0
57,891.0,492.0,901.0,507.0,5.0,17.969427--67.04422,0.9822443182,58.0
58,506.0,1505.0,532.0,1516.0,5.0,37.044071--97.764748,0.9819335938,59.0
59,169.0,1339.0,177.0,1359.0,10.0,-33.9967--71.590202,0.9817708333333334,60.0
60,171.0,1337.0,181.0,1355.0,10.0,-35.694698--72.124001,0.9817708333333334,61.0
61,283.0,1476.0,311.0,1481.0,10.0,47.922901--120.894302,0.9815848214,62.0
62,365.0,765.0,383.0,769.0,10.0,OklahomaQuakes,0.9809027777777778,63.0
63,107.0,897.0,121.0,903.0,10.0,35.13258--89.865173,0.98046875,64.0
64,139.0,1115.0,161.0,1119.0,10.0,17.048--61.764999-minmag1,0.9796875,65.0
65,227.0,901.0,242.0,910.0,5.0,46.551701--119.645317,0.9791666667,66.0
66,157.0,1347.0,179.0,1357.0,10.0,-34.401901--72.016098,0.9791666666666666,67.0
67,400.0,1354.0,420.0,1372.0,10.0,-27.5937--70.234703,0.9787946429,68.0
68,153.0,1350.0,168.0,1368.0,10.0,32.94194--97.578613,0.978515625,69.0
69,103.0,1400.0,114.0,1422.0,10.0,-36.405701--72.401299,0.978515625,70.0
70,239.0,1514.0,270.0,1522.0,10.0,47.922901--120.894302-minmag1,0.9782366071428572,71.0
71,260.0,1492.0,299.0,1493.0,10.0,46.277802--124.053596,0.9776785714,72.0
72,1044.0,1456.0,1090.0,1470.0,10.0,33.539902--116.591202,0.9765625,74.0
73,300.0,200.0,308.0,204.0,10.0,-35.009899--71.930298-minmag1,0.9765625,73.0
74,786.0,1464.0,839.0,1465.0,10.0,40.176601--122.788399,0.9765625,76.0
75,814.0,1436.0,841.0,1463.0,10.0,33.539398--116.592201-minmag1,0.9765625,75.0
76,346.0,1528.0,379.0,1541.0,5.0,37.225616--98.06472,0.9760416667,77.0
77,344.0,655.0,350.0,674.0,10.0,PuertoQuakes,0.9755859375,78.0
78,1008.0,1489.0,1043.0,1517.0,10.0,33.539902--116.591202-minmag1,0.975390625,79.0
79,166.0,1332.0,197.0,1339.0,10.0,47.344372--124.28746-minmag1,0.9752604166666666,80.0
80,58.0,1440.0,86.0,1450.0,10.0,-32.558102--70.928902,0.9752604166666666,81.0
81,55.0,1441.0,87.0,1449.0,10.0,35.961155--96.756004,0.9739583333333334,82.0
82,639.0,1105.0,669.0,1123.0,10.0,-33.1436--70.674896,0.9732142857142856,83.0
83,1030.0,1336.0,1052.0,1380.0,5.0,18.979361--155.667892,0.9728618421,84.0
84,118.0,131.0,124.0,132.0,10.0,40.701328--111.866829,0.97265625,85.0
85,1103.0,1385.0,1140.0,1420.0,10.0,18.979361--155.667892-minmag1,0.971875,86.0
86,178.0,1066.0,209.0,1071.0,10.0,33.005699--116.592598-minmag1,0.971875,87.0
87,636.0,110.0,649.0,119.0,5.0,37.136131--97.618317,0.9713541667,88.0
88,1029.0,1456.0,1096.0,1464.0,5.0,37.012882--97.477806,0.970703125,89.0
89,1024.0,1459.0,1079.0,1481.0,5.0,33.539398--116.592201,0.969921875,90.0
90,1017.0,1465.0,1061.0,1499.0,10.0,33.260201--116.322304-minmag1,0.96953125,91.0
91,873.0,1360.0,914.0,1390.0,10.0,37.123501--98.095131,0.9691840278,92.0
92,66.0,182.0,70.0,186.0,10.0,-36.773102--73.209702,0.96875,93.0
93,854.0,1376.0,897.0,1407.0,10.0,37.123501--98.095131-minmag1,0.9678819444444444,94.0
94,1028.0,1202.0,1081.0,1223.0,10.0,19.460171--155.27533-minmag1,0.9678819444444444,95.0
95,935.0,56.0,946.0,78.0,10.0,37.153419--97.758972,0.9677734375,96.0
96,66.0,1420.0,105.0,1431.0,10.0,32.929722--97.539719,0.9674479167,97.0
97,229.0,761.0,250.0,774.0,10.0,46.551701--119.645317-minmag1,0.966796875,98.0
98,106.0,1378.0,147.0,1389.0,10.0,37.0159--88.645897-minmag1,0.9661458333333334,99.0
99,1003.0,1468.0,1079.0,1481.0,5.0,33.539501--116.591904,0.965234375,100.0
100,119.0,1363.0,152.0,1384.0,5.0,47.749191--124.175438,0.96484375,101.0
101,629.0,112.0,645.0,123.0,10.0,37.205967--97.9133,0.96484375,102.0
