Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-97/37.044071--97.764748,1468,1516,519,532,0.97021484375,10
everywhere-97/-31.203699--71.000298,1394,1400,136,136,0.99609375,10
everywhere-97/37.136131--97.618317,75,77,422,435,0.970703125,10
everywhere-97/-33.451778--70.530807,784,886,113,138,0.8759765625,10
everywhere-97/-33.0229--71.637398,882,882,138,142,0.99609375,10
everywhere-97/-35.694698--72.124001,1301,1355,181,181,0.96484375,10
everywhere-97/33.539902--116.591202-minmag1,1389,1517,1032,1043,0.945703125,10
everywhere-97/47.344372--124.28746-minmag1,1324,1339,176,197,0.9765625,10
everywhere-97/33.260193--116.322289-minmag1,276,742,643,794,0.5983072916666666,10
everywhere-97/38.290901--92.268402,1359,1387,144,149,0.978515625,10
everywhere-97/-32.763699--70.550797,1205,1210,323,326,0.9947916666666666,10
everywhere-97/-27.5937--70.234703,1152,1176,347,360,0.9759114583333334,10
everywhere-97/45.8881--123.960503,1344,1352,165,184,0.982421875,10
everywhere-97/-35.009899--71.930298,125,129,125,127,0.9765625,10
everywhere-97/40.723--111.907173,134,134,122,122,1.0,10
everywhere-97/40.701328--111.866829,123,132,122,124,0.95703125,10
everywhere-97/-34.496052--71.961197,185,187,67,69,0.984375,10
everywhere-97/41.195831--111.941673,114,118,138,138,0.984375,10
everywhere-97/-36.773102--73.209702,183,186,67,70,0.9765625,10
everywhere-97/-20.7771-167.240204,111,118,128,138,0.93359375,10
everywhere-97/-22.6129-167.446503,183,184,65,72,0.96875,10
everywhere-97/39.155861--111.819458,134,135,121,121,0.99609375,10
everywhere-less-than-97/33.6078--116.698997-minmag1,876,994,1006,1054,0.9189453125,10
everywhere-less-than-97/19.504322--155.702744,829,873,791,919,0.9040178571428571,10
everywhere-less-than-97/41.958199--119.790497,1392,1445,297,347,0.9425223214285714,10
everywhere-less-than-97/42.836498--124.5634,1202,1379,130,157,0.8671875,10
everywhere-less-than-97/33.539799--116.591499,1386,1449,1070,1111,0.959375,10
everywhere-less-than-97/35.97084--96.80481,1234,1378,528,670,0.8603515625,10
everywhere-less-than-97/18.979361--155.667892,1399,1444,1095,1116,0.97421875,10
everywhere-less-than-97/15.855--61.635399,636,643,117,125,0.98046875,10
everywhere-less-than-97/47.534698--123.089401-minmag1,1424,1522,220,270,0.9174107142857143,10
everywhere-less-than-97/33.607899--116.698898-minmag1,823,909,324,371,0.89609375,10
