,cluster_id,clusters_prob,end_time,start_time,utc_timestamp
31,2,"[0.00010216512, 0.0031813784, 0.97343677, 0.0078177564, 0.0076318095, 0.007696121]",2016-08-01T00:08:25.000000Z,2016-08-01T00:08:15.000000Z,[  1.47001010e+09]
32,5,"[4.4091255e-05, 0.0054776091, 0.029037965, 0.20992558, 0.013893556, 0.73387909]",2016-08-01T00:08:36.000000Z,2016-08-01T00:08:26.000000Z,[  1.47001011e+09]
33,3,"[0.0002903539, 0.00092307292, 0.00033877831, 0.85417855, 0.0048249187, 0.13602206]",2016-08-01T00:08:47.000000Z,2016-08-01T00:08:37.000000Z,[  1.47001012e+09]
34,5,"[0.00018977709, 0.0046677636, 0.014255433, 0.096311159, 0.0034745832, 0.88061857]",2016-08-01T00:08:58.000000Z,2016-08-01T00:08:48.000000Z,[  1.47001013e+09]
35,3,"[0.007692127, 0.060240552, 0.084487855, 0.44753125, 0.10864373, 0.28888866]",2016-08-01T00:09:09.000000Z,2016-08-01T00:08:59.000000Z,[  1.47001014e+09]
36,5,"[0.00013466527, 0.0049984814, 0.065565556, 0.44096515, 0.013467524, 0.46910757]",2016-08-01T00:09:20.000000Z,2016-08-01T00:09:10.000000Z,[  1.47001016e+09]
37,2,"[6.8763475e-06, 0.0011217683, 0.65947157, 0.31822485, 0.014878253, 0.0061593824]",2016-08-01T00:09:31.000000Z,2016-08-01T00:09:21.000000Z,[  1.47001017e+09]
38,2,"[0.028916283, 0.06404613, 0.56595618, 0.00019646065, 0.014734387, 0.32612601]",2016-08-01T00:09:42.000000Z,2016-08-01T00:09:32.000000Z,[  1.47001018e+09]
39,5,"[0.21681264, 0.22099814, 0.0048108269, 0.0036351793, 0.0025138068, 0.5461216]",2016-08-01T00:09:53.000000Z,2016-08-01T00:09:43.000000Z,[  1.47001019e+09]
40,4,"[2.5040056e-06, 0.0091340467, 0.033135295, 0.0011427383, 0.4961572, 0.23907474]",2016-08-01T00:10:04.000000Z,2016-08-01T00:09:54.000000Z,[  1.47001020e+09]
41,2,"[5.8606747e-07, 0.0002012444, 0.90862167, 0.034839649, 0.040206127, 0.01240227]",2016-08-01T00:10:15.000000Z,2016-08-01T00:10:05.000000Z,[  1.47001021e+09]
42,2,"[0.00034993913, 0.099734969, 0.49306619, 0.35636407, 0.0074973642, 0.030566048]",2016-08-01T00:10:48.000000Z,2016-08-01T00:10:38.000000Z,[  1.47001024e+09]
43,2,"[0.22990243, 0.059744444, 0.4681811, 0.025792832, 0.0064369803, 0.054184902]",2016-08-01T00:10:59.000000Z,2016-08-01T00:10:49.000000Z,[  1.47001025e+09]
44,5,"[4.788728e-08, 0.0033907467, 7.6618261e-07, 1.0042761e-05, 0.00077614631, 0.78277403]",2016-08-01T00:11:10.000000Z,2016-08-01T00:11:00.000000Z,[  1.47001026e+09]
45,5,"[9.5892958e-08, 0.00054199685, 0.0025178934, 4.968169e-05, 0.067574531, 0.79072261]",2016-08-01T00:11:32.000000Z,2016-08-01T00:11:22.000000Z,[  1.47001029e+09]
46,5,"[1.8625076e-07, 0.00021836093, 1.4267021e-08, 1.0171278e-08, 3.4172608e-05, 0.99759209]",2016-08-01T00:11:43.000000Z,2016-08-01T00:11:33.000000Z,[  1.47001030e+09]
47,2,"[0.00089878513, 0.078981444, 0.46547922, 0.0089697521, 0.11314891, 0.24762249]",2016-08-01T00:11:54.000000Z,2016-08-01T00:11:44.000000Z,[  1.47001031e+09]
48,2,"[0.00016880437, 0.00095764967, 0.88952392, 0.013561996, 0.0026572566, 0.0036428152]",2016-08-01T00:13:00.000000Z,2016-08-01T00:12:50.000000Z,[  1.47001038e+09]
49,5,"[1.0366758e-06, 0.047177956, 1.0925278e-10, 7.7781871e-11, 3.6163169e-07, 0.91206616]",2016-08-01T00:13:44.000000Z,2016-08-01T00:13:34.000000Z,[  1.47001042e+09]
50,2,"[3.7229643e-06, 1.4820805e-05, 0.5789215, 8.3085069e-05, 0.00029250656, 2.5408794e-05]",2016-08-01T00:14:06.000000Z,2016-08-01T00:13:56.000000Z,[  1.47001044e+09]
51,5,"[3.1311015e-10, 1.6843198e-05, 9.9580457e-06, 1.6178878e-05, 0.16790771, 0.82756943]",2016-08-01T00:14:17.000000Z,2016-08-01T00:14:07.000000Z,[  1.47001045e+09]
52,2,"[0.0036156371, 0.022092547, 0.91556048, 0.014546706, 0.017410219, 0.021044623]",2016-08-01T00:14:28.000000Z,2016-08-01T00:14:18.000000Z,[  1.47001046e+09]
53,3,"[4.3022755e-08, 0.00013417919, 0.11854719, 0.50557995, 0.0010108614, 0.37433314]",2016-08-01T00:14:39.000000Z,2016-08-01T00:14:29.000000Z,[  1.47001047e+09]
54,5,"[2.9011125e-07, 0.00042912478, 0.056137696, 0.057930056, 0.0012579249, 0.87651485]",2016-08-01T00:14:50.000000Z,2016-08-01T00:14:40.000000Z,[  1.47001048e+09]
55,1,"[0.00033012842, 0.53037852, 0.14557013, 0.0050212354, 0.0052504144, 0.27022487]",2016-08-01T00:15:01.000000Z,2016-08-01T00:14:51.000000Z,[  1.47001050e+09]
56,2,"[1.2318599e-06, 0.00021480312, 0.71812868, 0.010248715, 0.001808314, 0.0057537141]",2016-08-01T00:15:12.000000Z,2016-08-01T00:15:02.000000Z,[  1.47001051e+09]
57,5,"[6.6664718e-09, 0.0013359407, 7.7272894e-08, 2.4679844e-06, 0.00015611603, 0.99312544]",2016-08-01T00:15:34.000000Z,2016-08-01T00:15:24.000000Z,[  1.47001053e+09]
58,2,"[1.4512676e-06, 4.1478052e-05, 0.9700712, 3.8804988e-06, 0.00043043707, 0.00037494907]",2016-08-01T00:15:56.000000Z,2016-08-01T00:15:46.000000Z,[  1.47001055e+09]
59,2,"[1.1598908e-07, 9.9311746e-06, 0.96444851, 3.1579599e-05, 0.0096975528, 0.018252801]",2016-08-01T00:16:18.000000Z,2016-08-01T00:16:08.000000Z,[  1.47001057e+09]
60,5,"[0.010612814, 0.044915576, 0.027471, 4.6434347e-05, 0.033556752, 0.62158078]",2016-08-01T00:16:29.000000Z,2016-08-01T00:16:19.000000Z,[  1.47001058e+09]
61,2,"[0.00013263038, 0.0053378339, 0.41339108, 0.25603798, 0.0032537081, 0.3148492]",2016-08-01T00:16:40.000000Z,2016-08-01T00:16:30.000000Z,[  1.47001060e+09]
62,5,"[1.5685642e-06, 0.012093052, 8.6753316e-05, 0.0065221027, 0.002483868, 0.62444443]",2016-08-01T00:17:13.000000Z,2016-08-01T00:17:03.000000Z,[  1.47001063e+09]
63,2,"[0.00034065024, 0.0021363313, 0.55710912, 0.090526573, 0.073184602, 0.023261111]",2016-08-01T00:17:24.000000Z,2016-08-01T00:17:14.000000Z,[  1.47001064e+09]
64,3,"[1.5259913e-05, 0.0046669045, 0.0056222258, 0.59814477, 0.074696541, 0.30346018]",2016-08-01T00:17:35.000000Z,2016-08-01T00:17:25.000000Z,[  1.47001065e+09]
65,4,"[0.00028176571, 0.0081735607, 0.32764998, 0.1624365, 0.40992489, 0.091349229]",2016-08-01T00:17:46.000000Z,2016-08-01T00:17:36.000000Z,[  1.47001066e+09]
66,5,"[2.3861587e-06, 0.011324785, 0.0035042253, 0.00040313639, 0.011196754, 0.97344333]",2016-08-01T00:17:57.000000Z,2016-08-01T00:17:47.000000Z,[  1.47001067e+09]
67,5,"[3.6624112e-07, 0.047932904, 2.7953047e-05, 5.0326353e-06, 0.017671041, 0.93266892]",2016-08-01T00:18:52.000000Z,2016-08-01T00:18:42.000000Z,[  1.47001073e+09]
68,4,"[6.3903485e-08, 3.0050718e-05, 5.2732785e-06, 4.8542455e-09, 0.97897011, 0.0068929908]",2016-08-01T00:19:03.000000Z,2016-08-01T00:18:53.000000Z,[  1.47001074e+09]
69,2,"[4.9660025e-07, 0.00018753156, 0.98052317, 0.0023912131, 0.00017058357, 0.00014518414]",2016-08-01T00:19:14.000000Z,2016-08-01T00:19:04.000000Z,[  1.47001075e+09]
70,2,"[0.0005268674, 0.022200244, 0.7811107, 0.023057368, 0.0021127802, 0.15857774]",2016-08-01T00:19:36.000000Z,2016-08-01T00:19:26.000000Z,[  1.47001077e+09]
71,5,"[1.1452435e-08, 7.9929159e-05, 0.00014907221, 0.041002799, 0.0065534781, 0.94954723]",2016-08-01T00:19:47.000000Z,2016-08-01T00:19:37.000000Z,[  1.47001078e+09]
72,5,"[3.1735649e-06, 5.218717e-05, 0.0084883505, 0.15789302, 0.013573435, 0.81971139]",2016-08-01T00:19:58.000000Z,2016-08-01T00:19:48.000000Z,[  1.47001079e+09]
73,4,"[0.0019524399, 0.04329481, 0.085620478, 0.0050297258, 0.61128926, 0.25041988]",2016-08-01T00:20:09.000000Z,2016-08-01T00:19:59.000000Z,[  1.47001080e+09]
74,3,"[0.021929786, 0.0020573663, 0.081809454, 0.50112319, 0.32022417, 0.059648901]",2016-08-01T00:20:20.000000Z,2016-08-01T00:20:10.000000Z,[  1.47001082e+09]
75,3,"[0.00021530448, 0.0080186194, 0.26120624, 0.49856645, 0.11794496, 0.11383005]",2016-08-01T00:20:31.000000Z,2016-08-01T00:20:21.000000Z,[  1.47001083e+09]
76,5,"[1.0113413e-07, 0.0005468342, 1.3048814e-06, 0.36094883, 5.8502344e-05, 0.63711101]",2016-08-01T00:20:42.000000Z,2016-08-01T00:20:32.000000Z,[  1.47001084e+09]
77,2,"[9.2459175e-07, 0.00022342487, 0.98619509, 0.0094598904, 0.00091262988, 0.0017704905]",2016-08-01T00:20:53.000000Z,2016-08-01T00:20:43.000000Z,[  1.47001085e+09]
78,5,"[5.6361622e-09, 8.0163874e-05, 3.6299522e-10, 1.6817407e-10, 0.008685681, 0.99108118]",2016-08-01T00:21:15.000000Z,2016-08-01T00:21:05.000000Z,[  1.47001087e+09]
79,5,"[2.8276097e-06, 0.040810693, 3.7732736e-08, 1.3388131e-08, 0.0010242176, 0.95781106]",2016-08-01T00:21:26.000000Z,2016-08-01T00:21:16.000000Z,[  1.47001088e+09]
80,5,"[1.4956302e-07, 0.0009608962, 2.174729e-05, 2.0339716e-07, 0.0079267668, 0.99039674]",2016-08-01T00:21:37.000000Z,2016-08-01T00:21:27.000000Z,[  1.47001089e+09]
81,5,"[1.639153e-05, 0.093209058, 1.4753768e-06, 1.464223e-05, 0.00030840319, 0.90611041]",2016-08-01T00:21:48.000000Z,2016-08-01T00:21:38.000000Z,[  1.47001090e+09]
82,5,"[1.3193641e-08, 0.00027514595, 4.1907097e-07, 3.8876024e-06, 0.0033972606, 0.99631506]",2016-08-01T00:21:59.000000Z,2016-08-01T00:21:49.000000Z,[  1.47001091e+09]
83,5,"[1.073217e-08, 0.00016980074, 6.2292477e-11, 0.00010314643, 1.5317639e-05, 0.99971145]",2016-08-01T00:22:10.000000Z,2016-08-01T00:22:00.000000Z,[  1.47001092e+09]
84,5,"[1.146651e-08, 3.4370772e-05, 0.00047731836, 1.3472823e-05, 0.052432746, 0.94704026]",2016-08-01T00:22:21.000000Z,2016-08-01T00:22:11.000000Z,[  1.47001094e+09]
85,4,"[0.0032711134, 0.0040975069, 0.10771408, 0.012820515, 0.81262165, 0.051612984]",2016-08-01T00:22:54.000000Z,2016-08-01T00:22:44.000000Z,[  1.47001097e+09]
86,4,"[0.0094540324, 0.00093356927, 0.052185722, 0.24822032, 0.44194135, 0.0701233]",2016-08-01T00:23:05.000000Z,2016-08-01T00:22:55.000000Z,[  1.47001098e+09]
87,3,"[0.052476298, 0.0016800006, 0.0016595708, 0.8275407, 0.048444759, 0.015832251]",2016-08-01T00:23:16.000000Z,2016-08-01T00:23:06.000000Z,[  1.47001099e+09]
88,4,"[0.0066798814, 0.002237624, 0.018426133, 0.0181864, 0.69684839, 0.25753215]",2016-08-01T00:23:27.000000Z,2016-08-01T00:23:17.000000Z,[  1.47001100e+09]
89,4,"[0.0083783781, 0.047125619, 0.00046065572, 1.2128837e-07, 0.54526013, 0.39876261]",2016-08-01T00:23:38.000000Z,2016-08-01T00:23:28.000000Z,[  1.47001101e+09]
90,5,"[2.6386551e-05, 0.0069913906, 1.0693531e-05, 7.029978e-06, 0.017250556, 0.97568601]",2016-08-01T00:23:49.000000Z,2016-08-01T00:23:39.000000Z,[  1.47001102e+09]
91,5,"[2.8692915e-10, 8.3137993e-06, 4.2042734e-06, 0.22953866, 0.00050991931, 0.76945353]",2016-08-01T00:24:33.000000Z,2016-08-01T00:24:23.000000Z,[  1.47001107e+09]
92,3,"[8.4598412e-08, 1.4677656e-05, 0.16199976, 0.83237904, 0.0011069085, 0.0044321967]",2016-08-01T00:24:44.000000Z,2016-08-01T00:24:34.000000Z,[  1.47001108e+09]
93,5,"[5.0650325e-08, 8.7273884e-06, 0.0075781243, 0.0092002759, 0.18397824, 0.79918528]",2016-08-01T00:24:55.000000Z,2016-08-01T00:24:45.000000Z,[  1.47001109e+09]
94,4,"[2.3291102e-06, 9.7905868e-06, 0.14595406, 0.00098782126, 0.42559615, 0.19218123]",2016-08-01T00:25:06.000000Z,2016-08-01T00:24:56.000000Z,[  1.47001110e+09]
95,5,"[0.00076082541, 0.29516572, 0.00031283763, 7.7130814e-08, 0.0025789705, 0.70110345]",2016-08-01T00:25:17.000000Z,2016-08-01T00:25:07.000000Z,[  1.47001111e+09]
96,5,"[2.9636615e-07, 0.3752538, 7.591054e-09, 6.6193969e-12, 0.0022271015, 0.62249804]",2016-08-01T00:25:28.000000Z,2016-08-01T00:25:18.000000Z,[  1.47001112e+09]
97,2,"[0.00019146866, 0.0017337843, 0.89791101, 0.08019121, 0.0025794783, 0.017032979]",2016-08-01T00:25:50.000000Z,2016-08-01T00:25:40.000000Z,[  1.47001114e+09]
98,4,"[8.6821292e-06, 0.0017041336, 0.007582535, 0.00048456099, 0.83693308, 0.15283309]",2016-08-01T00:26:01.000000Z,2016-08-01T00:25:51.000000Z,[  1.47001116e+09]
99,4,"[4.0788354e-06, 0.028651876, 0.0039742892, 5.8427008e-06, 0.56612265, 0.40104118]",2016-08-01T00:26:12.000000Z,2016-08-01T00:26:02.000000Z,[  1.47001117e+09]
100,2,"[0.00059398211, 0.0042779949, 0.47327131, 0.036799364, 0.35719043, 0.080489263]",2016-08-01T00:26:23.000000Z,2016-08-01T00:26:13.000000Z,[  1.47001118e+09]
101,5,"[6.4432056e-06, 0.011276523, 4.4345183e-05, 0.086417861, 0.0034485564, 0.88684505]",2016-08-01T00:26:34.000000Z,2016-08-01T00:26:24.000000Z,[  1.47001119e+09]
102,2,"[0.047850981, 0.00036938302, 0.56608146, 0.010529591, 0.054137267, 0.016157785]",2016-08-01T00:26:45.000000Z,2016-08-01T00:26:35.000000Z,[  1.47001120e+09]
103,3,"[0.00041186827, 0.00044828127, 0.0010710455, 0.97833598, 0.0075057768, 0.0037663071]",2016-08-01T00:26:56.000000Z,2016-08-01T00:26:46.000000Z,[  1.47001121e+09]
104,3,"[1.5204384e-05, 0.0010189966, 0.18464893, 0.73925531, 0.053568318, 0.0058103609]",2016-08-01T00:27:07.000000Z,2016-08-01T00:26:57.000000Z,[  1.47001122e+09]
105,2,"[0.23417437, 0.10946976, 0.57052696, 0.0016834679, 0.024791926, 0.01872392]",2016-08-01T00:27:18.000000Z,2016-08-01T00:27:08.000000Z,[  1.47001123e+09]
106,5,"[2.5436018e-09, 0.0012319592, 2.2972357e-15, 1.3264747e-09, 5.387587e-06, 0.99822348]",2016-08-01T00:27:29.000000Z,2016-08-01T00:27:19.000000Z,[  1.47001124e+09]
107,5,"[6.824537e-08, 2.5026563e-06, 1.2025311e-09, 9.1969444e-13, 0.13749853, 0.8624981]",2016-08-01T00:27:40.000000Z,2016-08-01T00:27:30.000000Z,[  1.47001126e+09]
108,5,"[4.38936e-05, 0.0028771868, 4.2953643e-06, 5.0145392e-08, 0.0053357719, 0.991377]",2016-08-01T00:27:51.000000Z,2016-08-01T00:27:41.000000Z,[  1.47001127e+09]
109,5,"[0.0077630738, 0.074141353, 0.001402825, 0.0002035332, 0.00016324993, 0.51193261]",2016-08-01T00:28:02.000000Z,2016-08-01T00:27:52.000000Z,[  1.47001128e+09]
110,5,"[1.4509794e-07, 0.004151932, 0.00075673941, 2.3223554e-06, 0.2948578, 0.63957798]",2016-08-01T00:29:19.000000Z,2016-08-01T00:29:09.000000Z,[  1.47001135e+09]
111,4,"[5.5951183e-08, 3.032303e-05, 0.26705974, 0.18423951, 0.29246294, 0.21307825]",2016-08-01T00:29:30.000000Z,2016-08-01T00:29:20.000000Z,[  1.47001136e+09]
112,3,"[8.4148021e-05, 0.0044948254, 0.24307939, 0.66863382, 0.0037331919, 0.078934349]",2016-08-01T00:29:41.000000Z,2016-08-01T00:29:31.000000Z,[  1.47001138e+09]
113,5,"[0.0001440229, 0.026668642, 0.23508112, 0.15209471, 0.023926007, 0.55951023]",2016-08-01T00:29:52.000000Z,2016-08-01T00:29:42.000000Z,[  1.47001139e+09]
114,5,"[7.5107903e-10, 3.5862663e-06, 0.00010406724, 0.031143749, 0.051652484, 0.91517633]",2016-08-01T00:30:03.000000Z,2016-08-01T00:29:53.000000Z,[  1.47001140e+09]
115,3,"[1.1755267e-06, 0.00039144597, 0.0010767747, 0.80680364, 0.0039626136, 0.18703517]",2016-08-01T00:30:25.000000Z,2016-08-01T00:30:15.000000Z,[  1.47001142e+09]
116,5,"[1.720222e-07, 0.00145442, 1.7588089e-05, 0.00026137277, 0.043606728, 0.95465565]",2016-08-01T00:30:36.000000Z,2016-08-01T00:30:26.000000Z,[  1.47001143e+09]
117,5,"[1.1084623e-07, 4.998109e-06, 0.00044713702, 3.6383681e-05, 0.0038849346, 0.995552]",2016-08-01T00:30:47.000000Z,2016-08-01T00:30:37.000000Z,[  1.47001144e+09]
118,5,"[9.9665156e-09, 0.00011064623, 5.3613203e-05, 0.00023118897, 0.013941595, 0.98564374]",2016-08-01T00:30:58.000000Z,2016-08-01T00:30:48.000000Z,[  1.47001145e+09]
119,2,"[1.5711419e-06, 1.0312575e-05, 0.64991528, 0.00017946257, 0.0035931594, 5.2156651e-05]",2016-08-01T00:31:09.000000Z,2016-08-01T00:30:59.000000Z,[  1.47001146e+09]
120,5,"[1.1661519e-08, 6.1839608e-05, 7.6515603e-09, 1.5931893e-05, 0.0016750852, 0.9982127]",2016-08-01T00:31:20.000000Z,2016-08-01T00:31:10.000000Z,[  1.47001148e+09]
